Reference,Order Value,Group
544192,17.7,0
546029,17.7,1
546102,17.7,1
556885,17.7,1
557228,17.7,0
563079,17.7,1
577138,17.7,1
536369,17.85,0
536574,17.85,1
537471,17.85,0
562532,17.85,0
545822,17.9,1
547384,18,1
559945,18,1
546444,18.2,0
557783,18.2,1
555070,18.4,0
559472,18.4,1
576588,18.65,0
565783,18.72,1
565860,18.72,1
570474,18.75,0
573196,18.75,0
552713,19,0
567192,19.44,0
541708,19.5,1
550919,19.5,0
553051,19.5,0
561062,19.5,0
543762,19.65,1
537761,19.8,1
540474,19.8,1
541815,19.8,1
544312,19.8,0
553047,19.8,1
553579,19.8,0
559185,19.8,1
566954,19.8,1
577510,19.8,0
581491,19.8,1
542549,19.8,1
550491,19.8,1
556417,19.8,0
559520,19.8,0
564720,19.8,1
575163,19.8,0
581231,19.8,0
536585,19.9,0
537599,19.9,0
571863,19.9,1
574729,19.9,1
552135,19.92,0
562050,19.92,1
562606,19.92,1
574041,19.92,1
579289,19.92,1
539485,19.95,1
572875,20.04,0
560121,20.1,1
568595,20.16,0
538885,20.25,0
540116,20.26,0
539005,20.4,0
545012,20.4,1
558070,20.4,0
560494,20.4,0
561913,20.44,1
543041,20.55,0
551729,20.8,1
554095,20.8,0
558921,20.8,0
560871,20.8,0
562098,20.8,1
571232,20.8,1
573121,20.8,1
575433,20.8,1
578311,20.8,1
537386,20.85,0
580739,20.9,0
557869,21,0
566455,21,1
573540,21,1
576659,21,0
547196,21.05,1
539992,21.3,1
546663,21.36,0
549536,21.45,1
552248,21.45,1
551576,21.6,0
555875,21.75,1
580668,21.92,0
538846,22,0
577906,22.04,0
541246,22.2,0
543751,22.4,1
536803,22.5,1
551141,22.5,1
557332,22.5,1
564361,22.5,0
571891,22.75,1
557227,23,1
565808,23,1
538470,23.2,1
558529,23.2,0
563229,23.28,1
570489,23.4,1
579511,23.4,0
548530,23.6,0
569226,23.6,1
574428,23.7,0
574432,23.76,1
539828,23.8,1
540024,23.8,0
551416,23.8,0
561003,23.8,0
569480,23.8,0
537810,23.85,1
540819,23.85,0
551317,23.85,1
559924,23.85,1
545858,24,1
570021,24.3,1
559793,24.38,1
562103,24.6,1
573310,24.78,0
567808,24.8,0
538644,24.9,0
553715,24.9,1
551545,24.9,1
552716,24.9,1
556249,24.9,0
561057,24.9,1
570716,24.9,1
578788,24.92,1
553837,24.96,0
574752,24.96,1
575658,24.96,1
580177,24.96,0
539481,25,0
555422,25,0
565158,25,0
568217,25.08,1
556625,25.17,1
551186,25.2,0
537228,25.2,0
537367,25.2,0
539664,25.2,0
546900,25.2,0
565729,25.2,0
566044,25.2,1
566429,25.2,0
567486,25.2,0
568918,25.2,1
569111,25.2,1
569142,25.2,1
571237,25.2,0
572080,25.2,1
578938,25.2,1
580141,25.2,0
544896,25.5,0
547415,25.5,0
549961,25.5,0
550649,25.5,1
561680,25.5,1
570706,25.5,1
575304,25.5,1
557662,25.8,0
544418,25.92,1
539979,26.25,1
537252,26.35,1
572929,26.4,0
553100,26.4,1
539986,26.6,0
547723,26.7,0
546724,26.8,1
547566,27,0
571057,27,0
563901,27.3,1
557152,27.8,1
554924,27.8,1
561657,27.8,1
547931,28,1
539825,28.05,0
550011,28.05,1
544088,28.4,0
539646,28.5,0
559161,29.4,0
557024,29.4,0
541607,29.43,0
542725,29.5,1
542743,29.5,0
577802,29.5,0
581479,29.5,1
539648,29.6,1
539398,29.7,1
539732,29.7,0
543520,29.7,0
546779,29.7,1
557752,29.7,1
561928,29.7,0
568415,29.7,0
570181,29.7,0
574668,29.7,1
572745,29.75,0
540973,29.8,1
573025,29.8,1
557253,29.82,1
572190,29.84,1
551272,29.88,1
541109,29.9,0
536792,30,0
542992,30,0
547991,30,1
549684,30,1
553357,30,1
555392,30,0
557668,30,1
558573,30,0
558841,30,1
559658,30,0
560200,30,0
568913,30,0
569735,30,0
574274,30,1
577011,30,0
578023,30,0
578112,30,1
579494,30,1
579788,30,1
580718,30,1
568375,30.002,0
571222,30.3,0
572099,30.4,1
547006,30.45,1
539216,30.6,1
540799,30.6,1
550198,30.6,0
569674,30.6,1
571236,30.6,1
549979,31,0
544686,31.2,1
555534,31.2,0
556907,31.2,1
558912,31.25,0
559490,31.5,0
543240,31.6,0
575974,31.6,0
551288,31.8,1
560865,31.8,1
563921,31.8,1
571102,31.8,1
546872,32,1
555926,32.06,0
551176,32.4,1
567974,32.7,1
537411,32.8,1
579463,32.8,0
553567,32.85,1
537249,33,1
539460,33,0
549971,33,1
552832,33,1
552834,33,1
553319,33,0
565330,33,0
565346,33,0
569557,33,1
569742,33,1
569872,33,0
569873,33,0
570510,33,1
573409,33,0
580775,33,0
572849,33.05,1
546902,33.2,1
563687,33.28,1
555250,33.36,1
557477,33.75,0
573290,33.75,1
564895,33.8,1
549668,33.9,1
566243,33.9,0
569701,33.9,1
544426,34,0
545223,34,1
550377,34,0
553155,34,0
555751,34,1
565435,34,0
570462,34,0
564109,34.56,0
578828,34.62,0
576385,34.65,0
559556,34.68,1
563559,34.68,0
575497,34.68,1
574482,34.72,1
536380,34.8,1
559913,34.8,0
564966,34.8,1
552693,34.92,1
577777,34.92,1
552035,35,1
564785,35,1
572056,35,1
544147,35.04,0
577494,35.1,0
546898,35.2,1
548613,35.28,1
536834,35.4,1
540279,35.4,1
544636,35.4,0
550531,35.4,0
554138,35.4,1
555561,35.4,1
558078,35.4,1
564714,35.4,0
571008,35.4,1
542081,35.5,0
566218,35.7,1
542915,35.8,0
545832,35.8,0
542132,36,0
551552,36,1
578848,36.09,1
538649,36.15,1
559694,36.4,1
561368,36.5,1
548653,36.6,1
539660,36.8,1
569529,36.8,1
557464,37.2,1
571218,37.44,0
552447,37.5,0
567824,37.5,1
573912,37.5,1
577382,37.6,0
578745,37.8,1
579436,37.92,0
567644,37.95,0
567427,37.96,0
543263,38.1,1
551138,38.16,0
572555,38.16,0
579534,38.16,0
539013,38.25,1
540150,38.25,0
544680,38.4,1
542387,38.75,0
553500,39,1
579009,39,1
550898,39.25,1
578674,39.48,1
537448,39.6,1
545306,39.6,1
572679,39.6,0
580368,39.6,0
563932,39.6,1
580150,39.72,1
540685,39.75,1
559029,39.84,0
562350,39.9,1
572064,39.9,1
538342,39.95,1
549106,39.95,1
563160,39.95,1
573161,39.95,1
576050,39.95,1
556842,40,1
568195,40,0
571179,40,0
569678,40.3,1
557068,40.32,0
575636,40.46,0
554078,40.56,1
564185,40.6,1
567895,40.68,1
538534,40.8,1
542903,40.8,1
556454,40.8,0
564048,40.8,1
573309,40.8,0
580315,40.8,1
573176,41.02,1
580068,41.25,1
572085,41.6,1
574467,41.6,1
561509,41.75,1
557229,41.8,0
542871,42,1
544446,42,1
567301,42.36,1
540497,42.4,1
547407,42.5,1
568380,42.5,1
573316,42.5,1
556119,42.96,0
575203,42.96,0
579015,42.96,0
559020,43.29,0
554653,43.4,1
580748,43.5,0
571437,43.68,1
579543,43.74,1
563467,43.88,1
558109,44.25,0
548219,44.3,1
536366,44.4,1
536372,44.4,1
536377,44.4,0
536399,44.4,0
536407,44.4,1
536601,44.4,0
536603,44.4,1
536610,44.4,1
536614,44.4,0
536629,44.4,0
536631,44.4,1
536688,44.4,1
536693,44.4,0
536751,44.4,1
536753,44.4,0
536789,44.4,0
544595,44.55,1
549850,44.55,0
552561,44.55,0
577848,44.55,0
544475,45,1
545889,45,1
555721,45,1
556496,45,1
559524,45,0
562879,45,0
568966,45,1
574246,45,1
574556,45,0
577231,45,0
574574,45.45,0
551200,45.6,0
559657,45.76,1
551825,45.8,0
559333,46.08,0
548386,46.25,1
561522,46.35,1
551325,46.4,0
556514,46.5,0
559187,46.75,1
560416,46.76,1
537664,46.8,1
553003,46.8,0
539953,47,1
551287,47,1
556431,47.01,0
555816,47.2,1
563235,47.4,1
573389,47.4,1
542405,47.6,0
574689,47.6,0
548640,47.7,1
560302,47.7,1
561599,47.7,0
559901,49.3,0
560582,49.47,0
576225,49.5,1
576257,49.5,0
578037,49.5,1
567702,49.7,0
571930,49.8,0
578622,49.8,1
557056,49.8,1
559936,49.92,0
561248,49.92,0
567487,49.92,1
570419,49.92,1
548746,50,1
554534,50,0
564085,50,0
565474,50,1
572293,50,0
572757,50,0
562047,50.1,0
549828,50.16,1
565387,50.4,0
536781,50.4,1
540534,50.4,1
571830,50.4,1
556506,50.88,0
538283,50.89,0
547698,51,0
547843,51,1
550345,51,1
551888,51,0
555839,51,0
558325,51,0
563891,51,0
566214,51,0
567800,51,1
581136,51,0
555927,51.12,0
536780,51.2,1
550634,51.48,0
566009,51.84,1
563934,52,0
562812,52.02,0
575084,52.05,1
558708,52.08,0
559541,52.2,1
573273,52.2,0
554056,52.36,1
554819,52.5,1
557781,52.5,1
565086,52.5,0
545645,52.65,1
547817,52.65,1
556018,52.8,0
575130,52.8,1
551523,53.1,0
563717,53.2,1
558737,53.48,0
557887,53.5,1
572998,53.64,1
575888,54,0
546380,54.6,0
537213,54.6,0
577129,54.6,1
548945,55.25,0
549689,55.3,1
538557,55.6,1
538310,56,0
579790,56,1
572071,56.16,1
541982,56.6,0
580916,56.79,1
567158,57,0
558337,57.3,0
555601,57.5,1
544320,57.6,0
547718,57.6,0
536670,58,0
568550,58.6,1
539045,58.75,0
551146,59,1
577100,59,0
566224,59.32,1
539268,59.4,0
547501,59.4,1
550150,59.4,1
562426,59.4,0
578012,59.4,0
560721,59.52,1
565586,59.52,1
567982,59.58,1
541248,59.64,1
575987,59.64,1
571204,59.7,1
552275,59.8,0
553022,59.8,1
553952,59.8,1
558866,59.8,1
538719,60,0
540842,60,0
550786,60,0
553736,60,1
560587,60,1
562810,60,1
564564,60,1
568906,60,0
573231,60,1
576656,60,0
548016,60.12,1
563930,60.12,0
542630,60.48,1
577529,60.48,0
539412,60.6,0
540822,61,1
555530,61.2,0
559920,61.2,0
575946,61.2,0
580765,61.2,1
580975,61.2,0
561630,61.25,1
565861,61.4,1
544326,62.25,0
580758,62.4,1
558276,62.4,1
546560,62.5,1
556098,62.5,1
580175,62.5,0
552522,62.75,0
537637,62.8,1
543019,62.8,1
537827,63,1
565464,63.2,1
568374,63.2,0
557511,63.25,1
579263,63.54,1
581582,63.54,1
544324,63.6,0
559353,63.75,1
570472,64.25,1
572034,64.4,1
577792,64.4,1
538044,64.8,0
577301,64.8,0
555381,64.8,0
558629,64.8,1
563177,65,1
575764,65,0
559172,65.4,1
548624,65.85,1
562262,66,1
569002,66,1
575182,66,0
578671,66,1
541494,66.48,0
546401,66.6,1
557331,67.14,0
555474,67.14,0
563618,67.2,1
569323,67.25,0
579437,67.25,1
538193,67.5,1
546369,67.5,1
550660,67.5,0
546109,67.8,1
547411,67.8,0
551990,68,0
554161,68,1
555725,68,0
564041,68,0
568396,68,0
558440,68.1,1
563426,68.2,0
557573,69.12,0
561245,69.32,0
579108,69.36,0
581428,69.36,1
541243,69.6,1
565449,69.6,1
574245,69.6,0
578256,69.6,0
578451,69.6,1
579109,69.6,1
559795,70,0
555840,70.2,0
577553,70.2,1
542137,70.7,1
568789,70.8,0
568905,70.8,1
570493,70.8,1
571181,70.8,0
574708,70.8,1
575677,70.8,0
547391,70.8,1
549016,70.8,0
557038,70.8,1
560236,70.8,0
571736,70.8,1
574731,70.8,1
578684,70.8,0
580310,70.8,1
548977,70.85,1
576382,71.1,1
548507,71.2,0
556922,71.25,0
546828,71.4,0
563740,71.4,0
552814,71.9,1
546921,72,1
548643,72,1
550663,72,1
553735,72,1
556185,72,0
564082,72,0
570407,72,1
572332,72,1
577322,72,1
578425,72,0
546848,72.05,0
567169,72.38,1
570858,72.45,1
578514,73.44,1
546853,73.5,0
550833,74.25,0
545326,74.5,1
539480,74.6,1
560994,74.6,0
556499,74.7,0
548668,74.8,1
536788,75,0
537849,75,0
559026,75,1
564164,75,0
578823,75,0
542926,75.6,0
570662,75.6,0
572214,75.6,1
537360,76.32,0
540004,76.32,1
540370,76.32,0
541108,76.32,1
541525,76.32,1
543738,76.32,0
544170,76.32,1
545347,76.32,1
546632,76.32,1
551144,76.32,1
552060,76.32,0
564381,76.32,0
564669,76.32,1
571933,76.32,0
554932,76.5,1
561811,76.5,0
571309,77.09,0
554506,77.22,0
553406,77.5,0
552292,77.66,0
553934,77.66,1
578857,77.66,1
556498,77.7,0
537621,78,1
537768,78,1
552529,78,0
576111,78,1
576849,78.05,1
545159,78.2,1
562530,78.35,0
563080,78.4,1
552729,79.2,0
554649,79.2,0
556971,79.2,1
559926,79.2,0
541425,79.2,0
543456,79.2,1
544605,79.2,1
544923,79.2,1
545185,79.2,1
545228,79.2,1
561955,79.2,0
548901,79.38,1
536393,79.6,1
547554,79.6,1
567362,79.6,1
550448,79.8,1
545603,79.8,1
549417,79.8,0
558090,79.9,1
538125,80,1
546878,80,1
562650,80,0
564847,80,1
565080,80,0
574196,80,0
578123,80,0
558566,80.24,1
539048,80.64,0
548322,80.65,1
556679,81.12,1
538666,81.2,0
577840,81.28,0
552492,81.36,1
580169,81.36,0
540557,81.6,1
544104,81.6,0
548217,81.6,0
548940,81.6,1
549941,81.6,0
551165,81.6,1
552887,81.6,1
563254,81.6,1
580666,81.6,0
562920,82.06,1
576915,82.06,0
552840,82.36,1
570457,82.4,1
544163,82.8,0
548321,82.8,0
569689,82.8,0
570265,82.8,1
539070,83.2,0
549994,83.2,1
552576,83.2,1
575196,83.2,1
577771,83.2,1
542135,83.3,0
549022,83.4,0
550309,83.4,0
556684,83.4,0
578196,83.4,0
553506,84,1
574446,84,1
566631,84.48,1
580214,84.72,1
545418,85,1
548623,85,0
555834,85,1
559113,85,0
566430,85,0
573933,85,1
578232,85,0
580706,85,1
578287,85.61,0
550030,85.8,0
564728,85.92,1
565157,85.92,1
573230,85.92,1
574022,85.92,1
575332,85.92,1
548674,86.1,0
547364,86.4,0
573174,88.1,1
549181,88.13,0
538520,88.2,1
536791,88.8,1
570702,88.8,0
563202,89.1,1
555497,89.28,0
550516,89.55,1
550610,89.55,0
570846,89.57,1
550949,89.68,0
571692,89.88,0
549523,89.95,0
540029,90,1
541228,90,1
543479,90,0
544297,90,1
547648,90,1
550450,90,1
557416,90,0
567194,90,0
569484,90,1
571405,90,0
579435,90,1
580052,90,1
569837,90.09,1
575712,90.36,1
578286,90.48,1
544611,90.72,1
559463,90.75,1
579537,90.75,0
539474,90.8,1
572654,90.96,0
571122,91.2,0
568718,91.6,1
551469,91.62,1
536992,91.8,0
548216,91.8,1
571250,91.8,1
541903,91.8,1
556746,92.25,1
580257,92.5,1
581143,92.8,1
562591,93.12,1
556969,93.9,0
571234,94.08,1
581227,94.08,1
563501,94.5,1
580655,95,1
574468,95.2,0
577607,95.4,1
539083,96,0
569413,96,0
580533,96.3,0
572515,96.58,1
566675,96.6,1
570665,96.8,0
570445,96.85,0
567711,96.96,1
576826,97.2,0
577776,97.95,1
566201,98.1,0
565852,98.7,1
546741,99,1
560843,99,1
561508,99,0
566022,99,1
570124,99,0
574724,99,1
575356,99,0
576902,99,1
563208,99.36,0
542099,99.5,0
562036,99.6,1
568893,99.6,0
569656,99.6,1
579917,99.6,0
536558,99.75,1
553551,100,1
558456,100,0
563357,100,1
548656,100.2,1
566001,100.43,0
565680,100.8,1
537243,100.8,1
550937,100.8,0
553883,100.8,1
580321,100.8,1
549122,101,1
579361,101,1
537668,101,0
554485,101.1,1
548856,101.28,1
539921,101.5,0
544805,101.7,0
539567,101.76,0
553059,101.76,0
558387,101.76,1
562948,101.76,0
563149,101.76,0
537469,102,1
539001,102,1
539410,102,0
539604,102,0
540174,102,1
540565,102,0
542154,102,0
548658,102,0
550669,102,1
556785,102,1
557110,102,0
565480,102,0
570017,102,1
570441,102,1
570844,102,1
570848,102,1
577166,102,1
578192,102,1
536466,102.6,1
578372,102.72,1
541797,103.2,1
557149,103.55,1
538049,103.6,1
550963,103.6,0
537836,103.68,1
575579,103.68,1
566206,103.95,1
578064,104,0
580371,104,1
553929,104.4,0
554703,104.4,0
564067,104.4,1
567969,104.4,1
548985,105,0
559682,105,0
566045,105,1
571702,105,1
559304,105.12,0
580614,105.12,0
539479,105.3,0
559823,105.6,0
565090,105.6,0
551177,105.9,1
562585,106,1
536636,106.2,1
560575,106.4,0
539952,106.7,0
566668,107.1,0
558352,107.5,1
578291,107.8,0
552026,108,1
553690,108,1
558353,108,0
571199,108,1
568511,109.2,0
566309,109.92,0
562529,110.1,0
574939,110.24,0
573403,110.4,0
568398,111.2,1
544296,111.72,1
560573,112.35,1
557780,113.3,1
542636,113.4,1
538627,114.24,1
537751,115.2,1
568666,115.2,1
537839,115.83,1
580159,115.9,1
540173,116,1
553465,116,0
561872,116.55,0
558715,116.69,0
545287,117,1
579265,117.12,1
571447,118.44,1
572879,118.44,0
576895,118.5,0
538663,118.8,1
561228,118.8,0
543163,118.8,0
544334,118.8,0
554051,118.8,0
